id_rubrique,nom,type,depth,parent,nb_produits
2016804,"Chaussures de sécurité basses",0,2,9000379,9604
2015953,"Vêtement réfléchissant",0,2,2007417,7526
2014864,"Table basse",0,2,9000372,7233
1001698,"Autres raccords hydrauliques",0,2,1000216,6045
2016803,"Chaussures de sécurité montantes",0,2,9000379,5784
1001979,"Vêtements de sécurité basique",0,2,2007417,5427
2007676,"Canapés lits",0,2,9000372,4404
2005983,"Verres de table",0,2,9000372,3384
2015295,"Fauteuil de bureau",0,2,2001558,3363
2001247,Canapés,0,2,9000372,3221
1001096,Embrayages,0,2,1000031,3078
2017183,"Vestes de travail",0,2,2007417,2920
2014975,"Tee-shirts et polos de travail",0,2,2007417,2707
2007670,Fauteuils,0,2,9000372,2683
1001974,"Bottes de sécurité",0,2,9000379,2271
2000040,"Raccord droit",0,2,1000216,2270
2008393,"Armoire anti-feu",0,2,2008392,2141
2005485,"Chaises empilables",0,2,2001558,2128
2017458,"Rayonnage mi-lourd et lourd",0,2,1000409,1925
2015734,"Bureau droit",0,2,1000422,1922
2014730,"Pull et sweat de travail",0,2,2007417,1877
2008164,"Batterie de démarrage",0,2,1000180,1847
2015403,"Blousons de travail",0,2,2007417,1774
2003481,"Abrasifs de ponçage",0,2,1000261,1754
2004235,"Amortisseurs de choc",0,2,1000033,1716
1001169,"Pompes centrifuges horizontales",0,2,1000215,1660
2004041,"Gants de manutention",0,2,9000380,1652
1001100,"Freins à disque",0,2,1000031,1647
1001142,Compresseurs,0,2,1000207,1611
2006034,"Tasses et mugs",0,2,9000372,1600
2003445,"Chambre froide",0,2,2011825,1581
2003785,"Servantes d'atelier",0,2,2005495,1562
2017876,"Panneau routier",0,2,1000384,1561
2005447,"Tables de réunions",0,2,2001554,1503
2004047,"Gants de protection",0,2,9000380,1410
2007221,"Appliques, spots et lampes murales",0,2,2019096,1366
2014974,"Gilets sans manche",0,2,2007417,1310
2004042,"Gants anti-coupures",0,2,9000380,1310
2001021,"Cuves à carburants",0,2,2007627,1277
2008356,"Ampoules à led",0,2,2019096,1237
2015802,"Armoire d'atelier",0,2,2005553,1233
2000908,"Pompes de relevage d'eaux et liquides",0,2,1000215,1232
1001786,"Ventilateur centrifuge industriel",0,2,1000354,1222
1001741,"Câbles chauffants",0,2,2010772,1213
1001783,"Ventilateur hélicoïde industriel",0,2,1000354,1209
2008035,"Groupe électrogène industriel",0,2,2009366,1205
2015128,"Pile lithium",0,2,1000180,1204
2003784,"Caisses et boîtes à outils",0,2,2005495,1176
2008187,"Batterie industrielle",0,2,1000180,1142
2007921,"Planches à découper",0,2,9000372,1135
2005441,"Sièges d'accueil",0,2,2010666,1112
2002089,Coupleurs,0,2,2002048,1106
2003706,"Moteurs à courant alternatif",0,2,1000030,1079
1001990,"Tabliers et chasubles de travail",0,2,2007417,1048
1001737,"Radiants à infrarouge électriques",0,2,2010744,1038
2000887,Cadenas,0,2,9000393,1034
2016190,"Bermuda et short de travail",0,2,2007417,1030
1002065,"Panneaux de signalisation",0,2,1000384,1020
2015861,Lit,0,2,9000372,1018
2003500,Palan,0,2,2007710,992
2014824,"Bureau d'angle",0,2,1000422,965
2004134,"Accessoires pour rayonnages",0,2,1000409,944
1002148,"Diable de manutention",0,2,1000396,944
2008033,"Groupe électrogène portable",0,2,2009366,922
2001557,"Banques d'accueil",0,2,2010666,905
1002172,Crics,0,2,1000401,900
1001778,"Déshumidificateurs à condensation",0,2,1000360,893
2001832,"Pompes immergées",0,2,1000215,890
2006874,"Bac de rétention en plastique rigide",0,2,2018232,866
2014830,Établis,0,2,2005495,866
1001706,"Colliers de fixation",0,2,2002048,863
2005443,"Chaise pliante",0,2,2001558,860
